startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-08-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2254,10533.85,937.5256,1625.523,3127.487,4877.74
2017-08-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1927,11676.56,890.6917,1521.841,3019.409,4190.415
2017-08-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2057,12525.62,942.3057,1645.75,3169.429,4628.636
2017-08-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1410,11881.73,840.4572,1557.977,3179.805,5715.25
2017-08-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1636,12751.43,936.0427,1664.782,3208.489,6174.37
2017-08-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,708,12070.06,837.348,1549.306,3485.05,5358.698
2017-08-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2130,9515.847,856.9622,1651.215,3234.553,5398.12
2017-08-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2772,19214.44,843.8959,1624.907,3363.625,5883.551
2017-08-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1922,9496.629,812.5218,1421.912,2749.199,4294.928
2017-08-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2272,11373.74,832.2269,1558.799,3015.743,5523.322
2017-08-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1991,12807.89,874.2089,1586.044,2953.198,5381.486
2017-08-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2471,15075.05,888.8133,1608.409,3065.274,5286.178
2017-08-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2271,12962.74,906.2674,1640.673,3315.471,4671.382
2017-08-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1719,15568.99,925.0297,1644.7,3123.035,4739.491
2017-08-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2425,56264.73,953.2555,1626.958,3115.068,5218.292
2017-08-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2571,19786.11,1083.823,1857.829,3705.63,6644.086
2017-08-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2668,22651.85,947.7338,1687.358,3563.071,7765.305
2017-08-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2451,30093.58,908.913,1656.267,3096.759,5067.475
